レースID(新),レースID(新/馬番無),日付S,馬名,性別,年齢,枠番,着順,騎手,多頭出し,所属,調教師,人気,間隔,前走場所,前走レース名,前クラス名,前走着順,レース名
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ2,牡,5,1,1,ほげほげ2,,(栗),ぴよぴよ2,1,5,京都,前走レースステークス2,1600万,1,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ3,牡,5,2,2,ほげほげ3,,(栗),ぴよぴよ3,2,5,京都,前走レースステークス3,1600万,2,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ4,牡,5,3,3,ほげほげ4,,(栗),ぴよぴよ4,3,5,京都,前走レースステークス4,1600万,3,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ5,牡,5,4,4,ほげほげ5,,(栗),ぴよぴよ5,4,5,京都,前走レースステークス5,1600万,4,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ6,牡,5,5,5,ほげほげ6,,(栗),ぴよぴよ6,5,5,京都,前走レースステークス6,1600万,5,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ7,牡,5,6,6,ほげほげ7,,(栗),ぴよぴよ7,6,5,京都,前走レースステークス7,1600万,6,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ8,牡,5,7,7,ほげほげ8,,(栗),ぴよぴよ8,7,5,京都,前走レースステークス8,1600万,7,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ9,牡,5,8,8,ほげほげ9,,(栗),ぴよぴよ9,8,5,京都,前走レースステークス9,1600万,8,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ10,牡,5,1,9,ほげほげ10,,(栗),ぴよぴよ10,9,5,京都,前走レースステークス10,1600万,9,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ11,牡,5,2,10,ほげほげ11,,(栗),ぴよぴよ11,10,5,京都,前走レースステークス11,1600万,10,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ12,牡,5,3,11,ほげほげ12,,(栗),ぴよぴよ12,11,5,京都,前走レースステークス12,1600万,11,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ13,牡,5,4,12,ほげほげ13,,(栗),ぴよぴよ13,12,5,京都,前走レースステークス13,1600万,12,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ14,牡,5,5,13,ほげほげ14,,(栗),ぴよぴよ14,13,5,京都,前走レースステークス14,1600万,13,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ15,牡,5,6,14,ほげほげ15,,(栗),ぴよぴよ15,14,5,京都,前走レースステークス15,1600万,14,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ16,牡,5,7,15,ほげほげ16,,(栗),ぴよぴよ16,15,5,京都,前走レースステークス16,1600万,15,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ17,牡,5,8,16,ほげほげ17,,(栗),ぴよぴよ17,16,5,京都,前走レースステークス17,1600万,16,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ18,牡,5,1,17,ほげほげ18,,(栗),ぴよぴよ18,17,5,京都,前走レースステークス18,1600万,17,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ19,牡,5,2,18,ほげほげ19,,(栗),ぴよぴよ19,18,5,京都,前走レースステークス19,1600万,18,今回レーストロフィー1
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ20,牡,5,3,1,ほげほげ20,,(栗),ぴよぴよ20,1,5,京都,前走レースステークス20,1600万,1,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ21,牡,5,4,2,ほげほげ21,,(栗),ぴよぴよ21,2,5,京都,前走レースステークス21,1600万,2,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ22,牡,5,5,3,ほげほげ22,,(栗),ぴよぴよ22,3,5,京都,前走レースステークス22,1600万,3,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ23,牡,5,6,4,ほげほげ23,,(栗),ぴよぴよ23,4,5,京都,前走レースステークス23,1600万,4,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ24,牡,5,7,5,ほげほげ24,,(栗),ぴよぴよ24,5,5,京都,前走レースステークス24,1600万,5,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ25,牡,5,8,6,ほげほげ25,*,(栗),ぴよぴよ25,6,5,京都,前走レースステークス25,1600万,6,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ26,牡,5,1,7,ほげほげ26,,(栗),ぴよぴよ26,7,5,京都,前走レースステークス26,1600万,7,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ27,牡,5,2,8,ほげほげ27,,(栗),ぴよぴよ27,8,5,京都,前走レースステークス27,1600万,8,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ28,牡,5,3,9,ほげほげ28,,(栗),ぴよぴよ28,9,5,京都,前走レースステークス28,1600万,9,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ29,牡,5,4,10,ほげほげ29,,(栗),ぴよぴよ29,10,5,京都,前走レースステークス29,1600万,10,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ30,牡,5,5,11,ほげほげ30,,(栗),ぴよぴよ30,11,5,京都,前走レースステークス30,1600万,11,今回レーストロフィー2
RX000000000000000000,RX0000000000000000,2015/6/21,フガフガ31,牡,5,6,12,ほげほげ31,,(栗),ぴよぴよ31,12,5,京都,前走レースステークス31,1600万,12,今回レーストロフィー2
